Date,Daily Average,Record High Daily Average,Year1,Record Low Daily Average,Year2,Average High,Lowest High,Year3,Record High,Year4,Average Low,Highest Low,Year5,Record Low,Year6,Years
06-Apr,77.2,81.3,2020,72.7,2004,78.4,74.3,2004,82.6,2020,76.1,80.4,2020,71.4,2004,24
07-Apr,77.3,81.6,2020,73.4,2004,78.6,74.5,2004,83.3,2020,76.2,80.8,2022,72.3,2004,24
08-Apr,77.4,82.5,2020,74.1,2004,78.7,75.2,2004,83.7,2020,76.3,81.5,2020,73.0,2004,24
09-Apr,77.6,83.1,2020,74.7,2009,78.8,75.9,2024,84.0,2020,76.4,82.0,2020,73.6,2009,24
10-Apr,77.7,83.5,2020,73.7,2000,78.9,74.5,2000,84.4,2020,76.6,82.6,2020,72.7,2000,24
11-Apr,77.8,83.4,2020,73.2,2000,79.0,74.7,2000,84.2,2020,76.7,82.8,2020,72.1,2000,24
12-Apr,77.9,83.2,2020,72.9,1998,79.1,74.5,1996,83.8,2020,76.8,82.6,2020,70.2,1998,23
13-Apr,78.0,83.7,2020,72.4,1998,79.2,73.4,1998,84.6,2020,76.9,82.9,2020,70.7,1998,24
14-Apr,78.1,84.4,2020,72.1,1998,79.4,72.9,1998,85.6,2020,77.0,83.5,2020,71.1,1998,25
15-Apr,78.2,85.0,2020,72.5,1998,79.5,73.6,1998,86.4,2020,77.1,84.0,2020,71.4,2004,23
16-Apr,78.4,85.6,2020,73.2,2004,79.6,74.3,2004,86.7,2020,77.3,84.7,2020,71.8,2004,26
17-Apr,78.5,85.0,2020,72.8,2004,79.7,74.5,2010,86.5,2020,77.4,83.1,2020,71.1,2004,25
18-Apr,78.6,85.5,2020,72.6,2004,79.8,74.3,2010,86.5,2020,77.5,84.2,2020,70.5,2004,25
19-Apr,78.7,85.9,2020,72.6,2004,80.0,74.3,2010,87.1,2020,77.6,84.2,2020,70.9,2004,26
20-Apr,78.9,86.0,2020,73.3,2004,80.1,74.8,2004,86.7,2020,77.7,84.9,2020,72.0,2004,26
21-Apr,79.0,85.5,2020,73.6,2004,80.2,74.5,2004,86.9,2020,77.9,84.6,2020,72.5,2005,26
22-Apr,79.1,84.8,2020,74.1,2004,80.3,75.4,2004,86.2,2020,78.0,82.8,2020,72.9,2004,26
23-Apr,79.2,84.2,2020,75.2,2001,80.5,76.1,2012,85.1,2020,78.1,82.6,2020,73.9,2001,26
24-Apr,79.3,84.6,2020,74.2,2012,80.6,75.2,2012,85.8,2020,78.2,83.7,2020,72.5,2012,25
25-Apr,79.5,84.5,2020,73.8,2012,80.7,74.7,2012,85.1,2021,78.3,83.5,2020,72.5,2012,24
